time,consgrowth,cay,RREL,SPEX,tbill,r1,r2,r3,r4,r5,r6
1990.2,1.0013,0.015408,0.98314,-0.052056,1.0021,0.96217,0.96776,0.94739,0.95181,0.95565,0.94087
1990.5,1.0073,0.019518,0.98792,0.034807,1.0065,1.0529,1.0218,0.98266,1.0976,1.0126,0.99785
1990.8,1.0032,0.033434,0.98517,-0.1674,1.0035,0.72146,0.76678,0.77035,0.82827,0.87252,0.8175
1991,0.99267,0.029783,0.9841,0.066018,1.0022,1.0485,1.0266,0.9996,1.1012,1.0561,1.0639
1991.2,0.99527,0.01824,0.99017,0.14609,1.0076,1.3047,1.2475,1.2675,1.183,1.1036,1.1393
1991.5,1.0055,0.022039,0.99152,-0.015625,1.0077,0.97621,1.0249,0.99458,0.98751,0.98725,1.0123
1991.8,0.99977,0.020699,0.99128,0.049403,1.0062,1.0943,1.0659,1.0552,1.0586,1.0513,1.0295
1992,0.99901,0.012556,0.98975,0.072232,1.0034,1.0716,1.0443,1.0264,1.1228,1.0352,1.0412
1992.2,1.0089,0.013677,0.98762,-0.021218,0.99979,1.005,1.0805,1.1621,0.9445,0.97175,1.0887
1992.5,1.0015,0.014007,0.99077,-0.008966,1.0018,0.87425,0.94673,0.9803,0.9787,1.0361,1.0417
1992.8,1.0039,0.013633,0.99013,0.02297,0.99975,0.98944,1.0342,1.0179,1.0404,1.0244,0.97456
1993,1.0068,0.0098425,0.99148,0.063235,0.99982,1.1657,1.1207,1.1286,1.0704,1.0301,1.0833
1993.2,1.0002,0.026285,0.99317,0.036223,1.001,0.96359,1.0594,1.1105,0.97663,1.0825,1.1087
1993.5,1.0018,0.017836,0.99233,0.001811,0.99965,1.0269,1.0033,1.0118,0.97019,1.0189,1.0239
1993.8,1.0075,0.020243,0.99686,0.031805,1.0041,1.0659,1.0834,1.0789,1.0023,1.0534,1.0377
1994,1.0031,0.014125,0.99451,0.012194,1.0018,1.025,1.0211,1.0242,1.038,0.98366,1.014
1994.2,1.0059,0.031353,0.99492,-0.046978,1.0022,0.94385,0.98076,0.99406,0.95087,0.96947,0.9413
1994.5,1.0041,0.028635,0.99583,-0.018586,1.0036,0.91669,0.97086,0.98875,0.98267,1.0106,0.97804
1994.8,1.0028,0.031465,0.99204,0.044146,1.0006,1.0862,1.0459,1.0476,1.0682,1.0195,1.0175
1995,1.002,0.028156,0.99661,-0.023072,1.0064,0.97,0.9796,0.95055,1.0016,0.98439,0.97876
1995.2,1.0024,0.021999,0.99655,0.075521,1.0079,1.0456,1.0471,1.0573,1.0883,1.0985,1.076
1995.5,1.005,0.023244,0.99408,0.079105,1.0066,1.0836,1.0927,1.0963,1.0905,1.0784,1.0941
1995.8,1.0019,0.017256,0.99423,0.075377,1.0075,1.1238,1.0917,1.0979,1.0854,1.0793,1.084
1996,1.0023,0.016567,0.99403,0.033624,1.0075,0.99126,1.0024,1.018,1.0435,1.0578,1.0441
1996.2,1.006,0.015381,0.99181,0.044068,1.0048,1.057,1.0497,1.0553,1.0438,1.0586,1.0385
1996.5,1.004,0.014115,0.99048,0.032128,1.003,1.0674,1.0583,1.064,1.0576,1.0103,0.99898
1996.8,1.0023,0.012465,0.99405,0.016046,1.0065,0.9654,1.0034,1.0094,1.0235,1.0404,0.99091
1997,1.0034,0.010386,0.99154,0.055512,1.0038,0.96672,1.0649,1.0592,1.0523,1.0926,1.0814
1997.2,1.0061,0.012305,0.99413,-0.0072745,1.0064,0.89134,0.98697,1.0197,1.0016,1.023,0.99917
1997.5,1.0037,0.00010224,0.997,0.1536,1.0094,1.156,1.1634,1.1427,1.1858,1.1526,1.1023
1997.8,1.0078,-0.0041336,0.99515,0.085767,1.0075,1.1816,1.1692,1.1673,1.0617,1.1111,1.0863
1998,1.0048,-0.0083778,0.99477,0.00042008,1.0071,0.8865,0.9645,0.99755,1.0169,1.0265,1.0422
1998.2,1.0085,-0.022037,0.99731,0.12103,1.0097,1.124,1.0989,1.1119,1.1515,1.1057,1.1427
1998.5,1.0084,-0.02279,0.99649,0.0042383,1.0087,0.93654,0.95645,0.99566,1.0392,1.0041,1.036
1998.8,1.0074,-0.0093057,0.99522,-0.13687,1.0074,0.75781,0.78708,0.79235,0.9127,0.82722,0.90008
1999,1.0028,-0.025785,0.99206,0.20316,1.0036,1.2146,1.1226,1.1059,1.2515,1.1509,1.1148
1999.2,1.0082,-0.029081,0.99454,0.025922,1.0057,0.94677,0.93861,0.89406,1.0488,1.0109,0.9752
1999.5,1.0081,-0.026226,0.99152,0.069003,1.0022,1.1769,1.1708,1.193,1.0491,1.1051,1.0596
1999.8,1.0057,-0.017754,0.99316,-0.073396,1.0036,0.9591,0.94634,0.93429,0.94025,0.88084,0.89971
2000,1.0109,-0.032511,0.99301,0.18168,1.004,1.3385,1.1307,1.0519,1.1948,1.0279,1.0385
2000.2,1.0068,-0.040634,0.98971,0.030747,1.0013,1.1042,1.0933,1.0918,1.0345,1.005,0.98851
2000.5,1.0082,-0.029455,0.99495,-0.063359,1.0074,0.92447,0.96506,0.98561,0.96121,0.94732,0.97815
2000.8,1.0057,-0.030372,0.99461,-0.010718,1.0079,0.92899,1.0619,1.0684,0.97189,1.1395,1.1258
2001,1.0069,-0.014546,0.99512,-0.12172,1.0091,0.78696,1.0303,1.0274,0.86461,1.0595,1.0768
2001.2,1.0003,-0.0041704,0.98838,-0.14212,1.0022,0.90483,1.0215,1.0452,0.83308,0.97968,0.98648
2001.5,1.0005,-0.0052059,0.98722,0.066692,1,1.2087,1.1405,1.1284,1.0624,1.0413,1.0604
2001.8,1.0012,-0.0061079,0.99394,-0.16954,1.0053,0.69376,0.81354,0.83535,0.83636,0.86071,0.86591
2002,1.0044,-0.001886,0.99355,0.12332,1.0026,1.291,1.1986,1.21,1.1236,1.0948,1.0678
2002.2,1.0056,-0.015463,0.99292,0.0014603,0.9998,0.94598,1.0703,1.1197,0.99651,1.0282,1.003
2002.5,1.0046,-0.0045018,0.98929,-0.12993,0.99483,0.82614,0.95437,0.97949,0.84282,0.91442,0.84143
2002.8,1.0015,0.010749,0.99269,-0.17056,0.99713,0.77034,0.79101,0.78384,0.83799,0.81372,0.81354
2003,1.0045,0.01086,0.99436,0.076073,0.99845,1.1009,1.0655,1.0307,1.0738,1.0773,1.0666
2003.2,1.0057,0.017904,0.98781,-0.031462,0.99159,0.95107,0.94629,0.94865,0.96859,0.93533,0.89067
2003.5,1.0012,0.0030112,0.99545,0.16758,0.9989,1.2828,1.2349,1.2414,1.1386,1.1765,1.1961
2003.8,1.0052,-0.0061942,0.9929,0.036828,0.99586,1.1079,1.089,1.1303,1.0266,1.0127,1.018
2004,1.0059,-0.011124,0.99458,0.12474,0.99713,1.1165,1.1439,1.1977,1.0998,1.1406,1.1454
2004.2,1.0073,-0.0078671,0.99004,0.025607,0.9924,1.0449,1.0456,1.0607,0.99911,1.0305,1.0229
2004.5,1.0031,-0.008855,0.99129,0.0085682,0.99354,0.99879,1.0085,0.98796,1.0101,0.98916,1.0123
2004.8,1.0059,-0.010555,0.99558,-0.018549,0.9981,0.92611,0.9866,0.98296,0.94945,1.01,1.0157
2005,1.0072,-0.018236,0.99351,0.10008,0.99654,1.1521,1.1185,1.1493,1.0865,1.0805,1.1021
2005.2,1.0073,-0.012663,0.9961,-0.005825,1,0.90636,0.95967,0.9898,0.96062,0.99044,1.011
